"model","horizon","weighting","mean_score","rw_score","relative_to_rw"
"BVAR",1,"center",0.0119627717985406,0.0128052906252904,0.934205411544046
"BVAR",1,"left",0.0173836057469463,0.0252128007944451,0.689475393419054
"BVAR",1,"right",0.0206475023935226,0.0245240179272625,0.841929836079977
"BVAR",1,"tails",0.0141055645433877,0.0241262374711267,0.584656623738727
"BVAR",3,"center",0.0204373789337367,0.0230991016395702,0.884769427514283
"BVAR",3,"left",0.0289687373074854,0.0459693002404011,0.630175729367
"BVAR",3,"right",0.0346527448316776,0.0437495405497152,0.792071057118865
"BVAR",3,"tails",0.0227467242716896,0.043520637510976,0.522665235911417
"BVAR",6,"center",0.0258679943670339,0.0309299364137306,0.836341660099583
"BVAR",6,"left",0.0372983955200738,0.0623777489353708,0.597943916807875
"BVAR",6,"right",0.0449004988367193,0.0577567084150472,0.777407509341746
"BVAR",6,"tails",0.0304629056227253,0.0582745845229569,0.522747710208463
"BVAR",9,"center",0.030312806067439,0.0364931071699472,0.830644700279241
"BVAR",9,"left",0.041818339302657,0.0755030899986711,0.553862620766819
"BVAR",9,"right",0.0553685672138274,0.0662391873939864,0.835888382574786
"BVAR",9,"tails",0.0365612943816064,0.0687560630527631,0.531753750262714
"BVAR",12,"center",0.0339347567635161,0.0398904212180339,0.850699384146255
"BVAR",12,"left",0.0440147836958292,0.083687250433843,0.525943718638767
"BVAR",12,"right",0.0678339591775568,0.0712504785807151,0.952049172563972
"BVAR",12,"tails",0.0439792293463537,0.0751568865784904,0.585165662768958
"RW",1,"center",0.0128052906252904,0.0128052906252904,1
"RW",1,"left",0.0252128007944451,0.0252128007944451,1
"RW",1,"right",0.0245240179272625,0.0245240179272625,1
"RW",1,"tails",0.0241262374711267,0.0241262374711267,1
"RW",3,"center",0.0230991016395702,0.0230991016395702,1
"RW",3,"left",0.0459693002404011,0.0459693002404011,1
"RW",3,"right",0.0437495405497152,0.0437495405497152,1
"RW",3,"tails",0.043520637510976,0.043520637510976,1
"RW",6,"center",0.0309299364137306,0.0309299364137306,1
"RW",6,"left",0.0623777489353708,0.0623777489353708,1
"RW",6,"right",0.0577567084150472,0.0577567084150472,1
"RW",6,"tails",0.0582745845229569,0.0582745845229569,1
"RW",9,"center",0.0364931071699472,0.0364931071699472,1
"RW",9,"left",0.0755030899986711,0.0755030899986711,1
"RW",9,"right",0.0662391873939864,0.0662391873939864,1
"RW",9,"tails",0.0687560630527631,0.0687560630527631,1
"RW",12,"center",0.0398904212180339,0.0398904212180339,1
"RW",12,"left",0.083687250433843,0.083687250433843,1
"RW",12,"right",0.0712504785807151,0.0712504785807151,1
"RW",12,"tails",0.0751568865784904,0.0751568865784904,1
"mixBART",1,"center",0.0123379267289374,0.0128052906252904,0.963502281203213
"mixBART",1,"left",0.0176577104280779,0.0252128007944451,0.700347040855859
"mixBART",1,"right",0.0211152191009876,0.0245240179272625,0.861001617419084
"mixBART",1,"tails",0.0140970760711906,0.0241262374711267,0.584304788016011
"mixBART",3,"center",0.0199852193200607,0.0230991016395702,0.8651946570002
"mixBART",3,"left",0.0293129146553387,0.0459693002404011,0.637662842419698
"mixBART",3,"right",0.0329449619046025,0.0437495405497152,0.753035608846342
"mixBART",3,"tails",0.0222874379198199,0.043520637510976,0.51211193572702
"mixBART",6,"center",0.024085916481637,0.0309299364137306,0.778725056510127
"mixBART",6,"left",0.0351655223497668,0.0623777489353708,0.563751064280977
"mixBART",6,"right",0.0411367335882772,0.0577567084150472,0.712241654989466
"mixBART",6,"tails",0.0281304229747701,0.0582745845229569,0.482721982576956
"mixBART",9,"center",0.0266193621076183,0.0364931071699472,0.729435341957942
"mixBART",9,"left",0.0379308886334881,0.0755030899986711,0.502375315158038
"mixBART",9,"right",0.045861169842734,0.0662391873939864,0.692357072105289
"mixBART",9,"tails",0.0305533342609856,0.0687560630527631,0.444372945518115
"mixBART",12,"center",0.0290952841672805,0.0398904212180339,0.729380219081944
"mixBART",12,"left",0.0396347337463744,0.083687250433843,0.473605400355538
"mixBART",12,"right",0.0520510626353809,0.0712504785807151,0.730536323014526
"mixBART",12,"tails",0.0334952280471942,0.0751568865784904,0.445670777117853
